Measure:mean;Left-Lateral-Ventricle;Left-Inf-Lat-Vent;Left-Cerebellum-White-Matter;Left-Cerebellum-Cortex;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;3rd-Ventricle;4th-Ventricle;Brain-Stem;Left-Hippocampus;Left-Amygdala;CSF;Left-Accumbens-area;Left-VentralDC;Left-vessel;Left-choroid-plexus;Right-Lateral-Ventricle;Right-Inf-Lat-Vent;Right-Cerebellum-White-Matter;Right-Cerebellum-Cortex;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;Right-VentralDC;Right-vessel;Right-choroid-plexus;5th-Ventricle;WM-hypointensities;Left-WM-hypointensities;Right-WM-hypointensities;non-WM-hypointensities;Left-non-WM-hypointensities;Right-non-WM-hypointensities;Optic-Chiasm;CC_Posterior;CC_Mid_Posterior;CC_Central;CC_Mid_Anterior;CC_Anterior
0;36.7882;51.7621;90.1014;76.5028;90.9855;85.214;91.0;101.0529;36.7428;39.2657;86.7919;77.6023;77.0948;51.4672;83.0205;94.5667;77.0;54.2079;36.6692;48.0022;88.2513;73.5625;88.391;85.7841;89.6514;102.043;75.8887;74.7718;84.756;92.4582;66.9057;57.025;52.3636;76.5204;0.0;0.0;57.25;0.0;0.0;76.7313;106.3895;99.8127;98.8571;100.3342;102.8844
1;35.449;44.3729;90.8213;80.2653;89.791;83.9307;91.083;97.1517;47.1083;38.8616;86.1617;76.632;75.8332;60.7911;80.9481;92.243;79.6667;55.313;36.0648;50.2;90.9462;77.8862;89.6421;85.7448;90.3714;97.9838;77.7153;75.6626;83.2457;91.6399;80.5;57.4192;59.25;78.2102;0.0;0.0;68.0;0.0;0.0;72.8562;105.5882;100.5662;97.8453;96.9962;101.2571
2;29.1844;48.6149;92.8436;81.115;92.3265;84.1143;91.0902;96.4817;41.5879;35.7174;87.5724;76.3235;75.1348;48.7095;79.8276;92.7471;77.2857;52.9678;30.8183;46.16;92.809;80.344;92.2157;85.4174;91.0972;98.135;77.1663;75.8339;81.4616;92.8841;0.0;54.5201;56.75;79.3878;0.0;0.0;62.5455;0.0;0.0;77.5513;105.9521;98.6454;100.4821;99.8099;101.5844
3;27.5167;44.4315;88.96;74.0445;90.5143;80.6245;86.8921;95.6697;41.5386;25.9874;85.4444;74.122;72.3986;38.4348;77.5405;90.8259;42.7098;54.5227;26.8808;39.9325;87.0337;71.3412;88.8026;80.36;86.3957;97.3987;73.5416;70.0453;78.2891;91.2118;65.0303;56.5247;0.0;78.5846;0.0;0.0;51.4;0.0;0.0;77.6573;108.4153;101.9087;100.226;101.4365;105.3494
4;23.143;31.1931;87.9462;70.4834;91.099;80.8945;88.9143;98.4581;31.1916;24.4715;87.1303;71.9151;72.7238;39.7022;77.0893;93.9803;71.1071;55.8394;24.4149;35.4891;90.1864;71.6847;90.0253;82.9153;89.1202;100.107;75.3832;73.3873;81.8942;93.7293;67.3824;53.3166;42.0;75.3863;0.0;0.0;62.0526;0.0;0.0;76.807;105.3492;98.0658;99.8248;100.4627;103.2945
5;30.1772;48.1104;89.8106;79.1374;89.2415;84.217;91.3997;97.547;39.1833;39.3241;84.2011;76.9811;77.5503;55.6564;82.0114;90.0158;68.5545;54.9855;34.2856;45.0074;89.303;76.8467;89.0463;85.8549;90.6782;98.4504;76.1837;76.3543;84.5392;89.6147;64.1356;50.4545;57.75;69.832;0.0;0.0;67.05;0.0;0.0;73.2007;96.7484;92.8037;95.4368;95.2363;97.5138
6;13.9338;42.6923;90.6907;75.8957;86.1629;74.5834;85.319;95.0297;34.2074;14.9265;84.2568;67.7486;65.5616;29.0485;70.8344;88.8639;69.03;49.3786;13.536;42.3226;89.6414;74.3258;85.5559;77.0836;85.753;96.1611;68.369;68.1292;74.655;89.3258;65.3871;50.5341;0.0;73.653;0.0;0.0;63.4667;0.0;0.0;76.6043;105.8167;99.4643;99.3639;101.0733;102.8626
7;15.4696;32.9365;89.6962;75.0751;84.6738;74.6012;82.8006;93.1074;26.3173;18.481;81.0325;66.0882;63.5444;27.0981;71.5132;85.7204;64.7692;50.7431;13.1194;40.8409;88.8167;72.836;84.6814;77.4382;84.2005;95.8615;68.1944;67.3338;76.2595;86.4379;66.3478;49.2139;0.0;75.3291;0.0;0.0;63.5161;0.0;0.0;74.4455;104.3615;98.3743;98.0052;99.8893;101.8028
8;15.4045;29.5616;86.6892;67.9957;86.53;74.1406;81.3964;93.348;20.5244;14.8079;85.4562;67.8564;65.426;26.9562;70.5462;90.5259;66.6952;52.0214;14.665;25.9067;86.6132;67.2272;85.8176;74.9845;79.7565;92.3493;66.5801;64.8512;73.3348;90.1257;59.1118;52.4477;0.0;76.8088;0.0;0.0;57.0;0.0;0.0;69.1418;105.5614;94.4326;98.7124;100.3726;102.2332
9;35.9079;46.9276;92.171;79.4403;89.6243;80.9441;85.8127;93.6097;39.5077;46.1163;86.5769;74.446;74.3051;56.3964;78.5034;89.3892;73.4167;52.6953;36.6984;44.1865;92.1225;80.9094;88.5597;82.3493;87.9924;96.3845;76.1697;76.36;84.0485;89.6062;63.325;53.2545;63.0556;77.6732;0.0;0.0;64.3571;0.0;0.0;76.7936;103.6969;100.254;100.4371;99.499;102.114
10;38.4396;44.6656;90.0132;78.9659;92.8265;85.816;91.0445;97.6772;40.3452;41.5296;88.0503;77.3653;74.1365;54.0686;81.6372;93.0014;71.0;54.9927;39.9008;42.578;89.5722;77.4172;91.474;85.9873;91.0145;99.3766;77.8293;74.7502;84.4954;93.4724;65.9565;57.3235;58.0;77.496;0.0;0.0;76.6667;0.0;0.0;80.9019;107.4241;100.406;97.179;97.7566;101.3979
11;39.4327;56.5263;88.4912;77.2532;90.4851;81.9824;88.7881;96.3187;49.9209;37.1132;85.7068;77.0656;74.2192;57.36;77.9574;91.5333;72.8571;57.3743;38.4755;47.5732;86.4201;72.8554;90.4402;82.2148;87.8493;95.9802;76.0146;74.6562;79.3663;91.3853;71.0156;57.1786;0.0;80.3015;0.0;0.0;69.6667;0.0;0.0;77.4106;106.571;101.0671;98.4269;99.5758;103.6527
12;43.5403;53.602;92.0909;81.094;95.1295;85.1162;90.5098;98.5631;50.2545;44.0367;90.8626;80.5918;79.8261;61.067;82.4786;94.6011;64.9231;57.3398;43.7943;51.0789;96.5153;83.8828;91.9031;84.8302;88.8317;99.2102;79.8019;77.8534;84.6013;94.1599;71.72;58.2883;72.125;81.7892;0.0;0.0;74.7;0.0;0.0;77.5644;108.6078;100.5675;100.0804;97.8847;104.7029
13;36.6244;46.3107;88.0061;74.2234;91.6964;83.1144;91.5947;101.1817;39.2315;38.7834;87.2361;77.8243;77.4344;54.7863;81.0453;95.085;67.5156;53.8685;37.4195;46.6219;87.9832;71.7699;90.5426;84.4232;89.567;100.7522;77.9562;75.8391;83.247;93.7504;70.3333;57.1926;58.6053;72.6281;0.0;0.0;65.6;0.0;0.0;82.7564;103.5576;98.4359;98.5509;98.4754;101.122
14;30.7038;49.4049;88.9121;73.9308;91.7782;80.4633;88.7344;96.0679;40.0469;32.9384;85.2386;75.3055;72.8658;47.1325;77.194;92.631;68.6992;54.7946;34.6152;39.8308;85.3282;70.0226;91.0665;81.9904;87.5142;97.0268;75.0249;71.9382;79.0039;92.2047;55.5021;55.7356;41.6667;77.7473;0.0;0.0;61.6364;0.0;0.0;77.2168;106.4832;99.2549;98.7744;99.7323;100.8876
15;17.1875;35.6101;79.1553;57.0801;87.6388;75.0318;85.0567;96.1431;30.5032;11.2309;85.1276;72.5192;70.6253;29.2424;71.356;93.1061;71.1429;51.5407;20.5162;39.1667;85.1062;66.9745;88.2048;77.2797;86.0452;98.3416;73.3731;72.9145;76.7417;93.2005;63.4167;52.46;0.0;74.2748;0.0;0.0;60.9565;0.0;0.0;79.3678;104.657;98.1826;99.9203;99.2957;105.1357
16;41.4621;53.395;90.9324;80.2972;92.4259;85.6145;91.5387;96.9321;49.2126;42.103;88.474;78.5098;76.5895;60.9615;81.6234;92.7518;64.7812;57.2453;40.9143;46.9245;91.6245;81.4655;92.2889;85.844;91.9523;97.7161;79.1052;77.1693;83.8108;93.1673;70.6487;58.0901;67.0;78.5572;0.0;0.0;72.1053;0.0;0.0;77.7979;107.25;103.1044;99.2572;97.4292;103.8401
17;42.611;53.0;93.6071;80.966;92.4797;83.3639;89.0096;96.7188;50.3136;40.7557;86.1864;79.4773;77.8034;58.5501;80.2839;92.5644;71.561;56.511;42.5286;44.3778;92.7143;78.6748;91.1795;83.5255;87.4091;96.4633;76.7787;74.7586;82.6133;91.2533;70.0;56.3358;0.0;81.3473;0.0;0.0;79.875;0.0;0.0;79.4145;107.5422;100.5689;97.6743;98.715;103.0012
18;42.7237;54.2364;91.6199;78.7188;93.2131;84.4299;89.5966;96.336;57.5608;42.4642;89.4137;79.5247;77.5523;67.3128;80.6692;93.0721;79.8276;56.1451;39.9681;46.6655;92.5261;76.9394;91.045;84.0842;88.7671;96.6124;79.4431;76.8964;82.8212;92.3709;75.0;56.6446;60.8571;80.5312;0.0;0.0;76.6;0.0;0.0;83.961;105.66;100.2184;100.2543;101.0412;103.7535
19;17.2355;43.2652;87.2636;71.706;89.2233;78.1466;87.8903;95.6485;26.0256;22.5275;84.5083;71.5506;71.0053;34.6109;73.9343;90.8971;72.3148;50.5839;17.7842;43.564;86.4535;69.2793;88.4625;80.1928;86.5568;95.4569;72.1993;71.1814;77.6667;90.7204;68.7778;52.0492;0.0;77.6218;0.0;0.0;62.5085;0.0;0.0;75.4562;107.7297;99.7701;97.6362;97.7697;100.4904
20;14.1141;37.4821;88.8439;74.2217;85.5449;73.8771;84.5835;95.1609;18.8279;13.2832;82.8455;67.7386;65.4664;25.4552;69.0525;90.0711;60.1375;51.8729;20.6693;48.037;88.8932;72.2622;87.7006;79.3972;85.753;96.6557;69.9486;66.7581;75.5551;90.3821;63.5536;54.5074;25.25;73.0678;0.0;0.0;62.0;0.0;0.0;71.9556;102.4275;96.8189;97.7558;99.8042;101.4783
21;32.8165;39.8418;94.591;81.8876;89.4225;81.3625;86.497;94.4085;36.3497;33.2898;86.4465;73.6893;70.4686;47.391;77.5372;91.1685;73.5513;54.5489;31.3237;36.21;94.9084;79.0263;90.0311;83.3289;87.7866;97.1952;75.4707;73.0343;82.1711;92.0098;65.0235;53.7691;0.0;78.3246;0.0;0.0;69.807;0.0;0.0;79.8959;105.138;99.7264;99.2482;102.1459;104.2291
22;16.2499;36.9938;93.0985;77.7035;89.7404;80.4727;87.8693;95.1021;21.7493;19.7554;84.6328;70.8318;69.8998;35.2475;76.7102;90.9406;66.3043;50.7858;15.8796;41.4669;91.2049;75.8288;89.6798;81.1812;88.0547;97.1257;71.2984;69.9699;79.1494;91.6956;68.7727;50.7181;0.0;72.323;0.0;0.0;60.6552;0.0;0.0;79.113;105.5252;98.4885;100.0296;99.8579;102.6037
23;14.8307;46.0;90.0132;74.096;86.6381;75.9057;83.1964;93.6345;24.0906;14.241;84.2744;69.6217;67.3681;34.2068;71.5855;89.4216;69.7234;49.8068;20.0549;32.6032;89.5318;71.8314;86.7623;76.3836;83.2434;94.6571;70.1407;69.292;73.1394;88.8721;71.6522;52.1353;0.0;72.3984;0.0;0.0;66.619;0.0;0.0;76.9633;105.3384;99.6713;100.1279;100.5921;101.5132
24;19.8209;41.4167;87.9371;70.9538;89.1575;77.1329;84.6067;94.594;26.7281;18.4761;85.4796;71.9405;67.8364;31.7257;70.5265;90.3176;65.8456;51.1165;19.1322;37.5825;87.1033;68.6109;87.9694;78.4378;83.6633;95.2662;71.8583;68.1766;74.4925;89.4327;65.0;49.4654;0.0;74.0027;0.0;0.0;65.12;0.0;0.0;73.7349;106.5944;99.483;97.7858;97.9804;100.1652
25;28.7409;42.6182;88.245;75.0113;88.9442;81.6146;89.0629;96.8558;36.1616;29.8976;83.1731;72.7327;71.9586;42.4239;78.3739;90.3585;71.2432;52.9107;30.3575;36.5796;87.8101;73.3152;88.4276;82.4555;88.3231;97.4642;73.5793;71.1694;81.1938;89.8183;69.3947;53.9537;0.0;76.838;0.0;0.0;54.8571;0.0;0.0;78.7299;104.2779;99.7385;98.9881;100.2092;101.5206
26;15.1857;31.4877;88.5665;73.69;85.1245;77.8111;86.8948;95.3568;16.1112;11.9615;82.5225;69.6163;66.3512;25.9268;76.2935;90.454;67.7619;52.1724;15.9429;29.8805;87.2598;70.2316;85.1909;78.521;85.2817;95.2495;69.5527;67.1322;76.6082;89.1631;62.4722;51.8741;0.0;73.9013;0.0;0.0;66.7667;0.0;0.0;80.5282;104.7748;98.1659;98.1553;102.1953;109.5154
27;42.3021;50.7374;89.8446;78.2783;91.9144;84.8946;90.7689;96.3082;47.5976;40.9469;85.3196;77.3261;76.6692;57.3761;81.1853;90.9984;68.8019;57.4776;41.7207;46.0508;89.847;77.3162;91.23;85.8096;91.9105;97.2665;77.8203;75.8165;83.8954;92.2241;65.5806;56.6962;63.3;77.5092;0.0;0.0;70.6471;0.0;0.0;77.8174;105.7812;99.7893;97.5521;99.2936;100.8656
28;37.2048;50.6141;90.325;77.9337;89.9178;83.5373;90.0765;94.7967;37.4256;38.6985;86.1833;77.6208;74.7723;52.7699;81.3059;90.8503;73.7308;53.7182;37.58;46.2759;88.8427;75.5851;89.4532;84.2475;89.6693;95.7546;77.5291;75.2634;82.3159;90.154;58.5668;57.0822;68.75;75.2611;0.0;0.0;62.8333;0.0;0.0;79.8256;105.4394;96.1086;96.5985;98.3562;100.924
29;26.8064;45.1679;89.041;75.9855;88.777;78.6698;88.8671;96.9194;34.7531;27.9636;83.9629;73.0123;72.5248;45.6791;75.9953;91.2499;76.1667;54.7598;29.0664;34.8826;86.749;71.5834;88.387;79.7486;85.9805;95.4162;72.6927;70.9811;76.907;90.5495;72.6667;54.0845;49.3333;76.8323;0.0;0.0;71.7;0.0;0.0;76.6395;105.5668;99.2993;96.6258;96.8752;102.1737
30;43.2026;47.4694;90.7793;81.4034;92.9144;85.7547;91.0657;96.2734;48.0674;42.5143;85.6999;79.1997;75.5816;60.7248;82.887;91.4965;73.4561;58.0466;43.7982;43.7686;88.7339;76.5289;91.0018;85.0804;89.5196;96.3038;77.0206;73.6349;83.7556;90.9774;70.9643;59.6366;0.0;79.9029;0.0;0.0;86.8571;0.0;0.0;79.4405;107.3161;101.7859;98.6128;99.3377;103.2286
31;13.2787;38.3963;89.8998;74.5848;88.1915;75.3851;86.3588;95.7252;22.058;16.1223;84.6874;69.1566;66.887;35.9764;73.1521;91.5883;73.8361;49.533;12.7602;35.7772;88.0441;70.2674;87.4558;78.0252;86.0622;96.9659;71.2353;68.8152;76.5935;90.849;68.1379;49.8769;0.0;73.9267;0.0;0.0;56.2308;0.0;0.0;77.6643;103.5316;98.8789;98.8123;98.9469;100.1416
32;38.5771;46.5633;88.4844;76.123;92.5955;83.7784;89.7324;97.6681;46.4065;40.7876;85.824;76.8114;76.4342;53.9883;79.4624;92.6986;72.4545;55.9254;38.3766;51.0455;88.5505;74.9954;90.77;84.1743;89.5942;97.8772;77.4492;75.687;81.4676;92.9322;70.4348;56.5463;0.0;76.1619;0.0;0.0;62.5;0.0;0.0;77.2058;105.6988;99.0127;100.1049;99.2298;101.1459
33;12.6948;38.6825;89.8965;79.5206;88.9728;79.594;87.0999;97.6624;23.5047;19.1162;83.4593;71.6783;68.9298;32.9852;73.9699;92.3092;63.913;51.738;14.1525;30.9622;87.3938;75.7949;88.4607;80.3501;86.0432;98.4576;70.9535;67.4642;78.034;91.428;69.6552;54.0833;0.0;76.9266;0.0;0.0;54.0667;0.0;0.0;78.7778;105.3745;99.0538;98.0032;97.2581;103.1524
34;38.3;45.9148;92.404;78.4326;93.0279;86.0227;92.3673;99.565;45.1264;40.6167;87.8302;79.6613;77.6091;58.5648;82.8413;94.4934;62.7171;56.4805;39.25;46.8286;91.3129;77.075;91.2168;85.4663;92.5806;100.33;79.6326;77.1161;84.9849;93.7124;63.7326;56.7454;55.2;78.2563;0.0;0.0;63.7857;0.0;0.0;83.0669;106.1555;101.284;98.5755;99.8448;101.771
35;41.8091;53.6744;95.4627;83.8576;92.234;85.4818;90.4342;98.9823;54.9851;42.8824;88.6408;77.3767;76.357;60.2207;81.1485;92.8174;0.0;57.2688;41.8986;47.3099;92.8276;79.5189;92.4433;85.5841;90.1224;99.3835;77.8949;75.4997;82.7284;93.0954;75.4;56.4606;0.0;83.1982;0.0;0.0;66.0;0.0;0.0;81.3727;105.6715;99.5554;98.3548;98.885;101.4261
36;43.8077;47.0079;88.412;76.3312;92.5873;84.9799;89.9461;96.9792;52.6155;41.3319;85.2271;76.7861;74.4701;57.1155;81.2397;92.5065;76.4667;58.3909;39.7345;44.0792;87.7715;75.6428;91.5016;84.9193;89.8535;97.9801;77.8943;75.0026;81.7921;91.7154;68.2;54.4022;0.0;79.1645;0.0;0.0;71.7;0.0;0.0;76.9278;106.2623;101.3286;99.3374;99.6702;101.5356
37;31.369;50.1588;89.1489;67.6895;98.799;87.0669;91.5484;104.3947;39.956;31.052;89.0671;76.5542;75.218;49.1203;84.1876;97.7078;65.775;53.9527;35.4085;40.8471;88.7967;67.4581;97.6745;85.8504;90.897;103.2694;75.9717;75.1222;85.2377;96.6967;73.1364;54.6878;0.0;73.8718;0.0;0.0;60.8636;0.0;0.0;76.3617;112.9189;107.0442;104.3856;103.9338;108.9307
38;32.9028;51.0301;87.3951;64.9251;99.6751;84.1575;90.8006;106.21;43.1001;29.089;88.3913;75.4472;74.8327;50.7244;83.5732;98.8573;71.7917;56.3026;33.6357;51.2737;86.4957;65.3399;99.0341;84.3845;91.1083;106.9731;76.4409;77.6146;84.6737;97.3835;57.1779;57.5504;43.7273;75.9656;0.0;0.0;70.8235;0.0;0.0;83.036;116.069;106.9524;105.4235;107.8439;112.2084
39;32.0021;45.2355;89.7307;68.9609;97.9779;89.0398;95.1834;105.0113;37.1233;34.4914;89.5892;77.6983;76.6633;50.2355;86.1215;98.1083;78.3333;54.1408;34.5531;44.6821;89.479;69.3842;96.0442;88.2801;94.791;104.2768;78.5492;78.2981;88.3661;96.5979;74.6667;54.216;0.0;73.3479;0.0;0.0;58.0769;0.0;0.0;82.1533;114.4603;108.1608;106.4375;109.7862;109.3532
40;36.008;54.1804;91.7335;72.2971;101.0759;89.2193;94.8667;104.8848;53.7913;41.8448;90.7839;80.1411;77.6892;62.5577;85.2742;98.4726;0.0;57.0479;37.1571;51.1282;91.9514;73.0498;99.037;89.1546;94.6581;104.7739;80.3765;78.4443;87.9427;97.0294;74.5625;58.2093;63.6667;74.8074;0.0;0.0;70.0;0.0;0.0;80.0287;112.6459;106.5964;109.2082;108.1363;106.3102
41;18.2404;38.2406;89.7073;67.2602;98.5025;86.6087;94.9771;109.2001;31.4952;23.2023;87.8879;72.8906;71.1991;40.7387;82.7893;98.651;71.7097;52.6597;20.5068;42.6267;87.1439;64.7204;96.5744;84.8921;94.1854;109.4434;73.8607;72.7034;84.0653;98.1193;66.3462;52.7801;29.6667;76.3412;0.0;0.0;67.2812;0.0;0.0;80.6619;116.011;112.725;108.0519;107.7958;110.6444
42;31.2279;44.8521;89.2948;69.571;98.5874;86.3647;91.2073;104.4948;41.2516;32.8911;88.5441;77.718;75.8462;54.0464;83.0689;97.2295;72.95;57.1548;32.0431;43.5122;87.9634;68.5252;97.1538;87.1818;92.2894;105.2397;77.9279;75.5178;85.0566;97.1321;67.25;55.6041;0.0;77.2156;0.0;0.0;64.7667;0.0;0.0;70.8333;110.0354;106.7476;107.6336;108.7262;108.9891
43;32.1946;43.0065;88.7477;69.231;99.3662;87.6748;92.5713;104.7917;46.1242;30.2308;89.2664;76.1066;74.7471;48.5786;81.4752;97.131;74.0;55.5359;32.1092;42.6319;89.5742;70.5347;96.8171;87.0546;92.5037;104.6883;76.5509;75.3177;83.917;96.4223;69.6071;53.9192;0.0;78.9124;0.0;0.0;64.1429;0.0;0.0;73.6892;113.3697;107.8419;107.4407;109.3327;108.7635
