Measure:std;Left-Lateral-Ventricle;Left-Inf-Lat-Vent;Left-Cerebellum-White-Matter;Left-Cerebellum-Cortex;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;3rd-Ventricle;4th-Ventricle;Brain-Stem;Left-Hippocampus;Left-Amygdala;CSF;Left-Accumbens-area;Left-VentralDC;Left-vessel;Left-choroid-plexus;Right-Lateral-Ventricle;Right-Inf-Lat-Vent;Right-Cerebellum-White-Matter;Right-Cerebellum-Cortex;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;Right-VentralDC;Right-vessel;Right-choroid-plexus;5th-Ventricle;WM-hypointensities;Left-WM-hypointensities;Right-WM-hypointensities;non-WM-hypointensities;Left-non-WM-hypointensities;Right-non-WM-hypointensities;Optic-Chiasm;CC_Posterior;CC_Mid_Posterior;CC_Central;CC_Mid_Anterior;CC_Anterior
0;9.1888;13.8728;4.8533;9.076;8.1541;6.9976;5.0194;2.4307;8.9734;11.1123;8.516;7.132;5.0885;15.742;5.5906;9.0431;7.9742;12.3331;9.8011;12.6676;4.5191;9.4673;8.7116;6.7189;4.885;2.9892;6.8846;5.3057;4.7424;10.6727;7.1851;11.65;9.255;13.7893;0.0;0.0;12.0911;0.0;0.0;16.7742;7.2335;7.7029;5.2207;5.2934;5.3613
1;10.425;13.5183;4.823;7.8807;7.2868;6.274;5.0177;2.6423;15.5277;11.2573;8.1676;7.9746;5.2937;15.4987;4.9897;8.2026;2.0817;12.9072;11.6174;9.9352;4.9441;8.0675;7.0802;6.4391;4.8221;2.9485;7.1311;4.6961;4.1638;9.5969;2.1213;13.2217;6.6182;14.4725;0.0;0.0;21.5786;0.0;0.0;15.5785;5.7867;8.9767;8.3615;6.2599;5.8517
2;12.1074;14.0236;4.8067;8.5952;7.2598;7.2196;5.5057;4.0082;15.8768;12.5098;7.6338;6.894;5.5693;14.5075;4.9683;8.0201;4.5356;13.7702;13.1758;11.7948;4.1734;8.6407;7.4494;7.4426;5.2199;3.637;6.4153;5.5193;4.7632;9.2895;0.0;12.7396;6.2383;12.5524;0.0;0.0;14.6344;0.0;0.0;20.1721;4.3956;8.4837;6.3167;5.7569;4.555
3;15.9539;14.6795;4.7476;8.4416;7.3431;7.1169;5.0564;3.8181;15.4524;12.4208;8.2038;6.2602;5.2597;16.9798;4.9484;9.4163;18.9074;17.631;14.6595;15.6911;5.1618;8.0076;7.9829;7.5574;5.4302;4.34;6.5668;5.0333;6.0256;9.1129;8.6656;14.3625;0.0;11.0527;0.0;0.0;17.5691;0.0;0.0;22.4962;4.6002;10.5152;7.0563;6.9323;8.6581
4;12.9852;16.3353;4.9732;9.635;7.5838;7.5281;5.4717;3.0262;16.3982;12.1403;8.8713;8.4251;5.4751;15.1738;6.8136;8.6288;9.243;15.721;13.4553;15.7646;5.0454;9.3812;8.3449;8.1903;5.3676;3.1634;7.5087;5.6456;6.7711;9.5803;7.6555;14.2693;15.7198;13.5109;0.0;0.0;13.9023;0.0;0.0;23.0406;6.6661;8.0966;5.6645;6.8756;5.9694
5;17.2296;13.2089;4.8301;8.1886;8.4808;7.0845;4.4205;2.3015;10.5598;10.996;8.6261;7.3261;5.7475;13.4508;4.3922;8.7147;10.8825;12.5447;15.0521;12.3442;4.6138;8.0874;7.5804;6.5154;4.1816;1.9277;6.1684;5.4773;3.8627;9.9307;10.5003;20.4591;5.7951;19.0191;0.0;0.0;14.3947;0.0;0.0;15.4295;7.208;8.7847;6.8564;5.917;6.8559
6;14.6647;14.322;4.8918;9.1301;8.4357;8.8485;6.6693;4.3282;16.068;12.6344;8.7847;7.3119;5.8468;15.6234;5.9292;9.8214;15.9396;16.208;14.7813;15.9743;4.9993;8.9047;8.8252;9.4797;6.6209;3.9687;7.2716;5.3596;7.6168;10.6027;10.8043;15.3513;0.0;14.3912;0.0;0.0;14.3352;0.0;0.0;20.0952;4.3105;7.978;6.4649;5.2626;9.6987
7;15.3387;16.022;5.6457;9.358;8.3826;8.219;5.7143;4.2612;16.4255;13.5453;7.8768;7.3957;5.9842;15.4206;6.1223;9.0415;11.7903;16.4848;14.2158;15.2367;5.1921;9.0155;8.9848;9.0171;5.9528;4.0969;7.0948;5.5837;7.9763;10.2968;11.2606;15.6211;0.0;11.8459;0.0;0.0;17.793;0.0;0.0;20.5007;4.6211;9.2869;7.6966;6.1691;5.474
8;15.8441;17.6105;5.1547;8.3564;8.7854;7.8247;5.5102;4.342;17.8016;13.0875;8.3745;8.0745;5.8135;17.283;5.6583;9.4669;10.8487;16.1719;16.2726;18.1412;5.5179;8.2976;8.4436;7.5778;5.828;4.5602;7.298;5.4147;6.5131;10.3121;15.6774;14.757;0.0;13.5816;0.0;0.0;16.0347;0.0;0.0;27.3029;6.7709;10.9837;6.1249;6.7305;7.6233
9;8.641;14.3801;5.1757;8.2857;7.5212;7.1874;4.1349;3.3759;11.4111;11.1171;8.7203;6.0063;4.9967;13.5844;5.3762;8.0851;4.8889;11.6853;9.5574;12.5011;7.1951;9.0686;7.6181;7.2932;4.6031;2.529;5.7016;4.5558;4.8007;9.7254;10.7927;11.0154;9.9597;11.3051;0.0;0.0;11.5765;0.0;0.0;13.8345;6.9347;7.9469;6.2662;5.367;5.2592
