"Variable","Wilcox_p.value","Wilcox_significant","Wilcox_paired","Cohens_d","Cohens_d_CI_inf","Cohens_d_CI_sup","Cohens_d_paired","control_median","control_1Q","control_3Q","case_median","case_1Q","case_3Q"
"lhCortexVol","0.9992","FALSE","FALSE","-0.031","-0.1609","0.0988","FALSE","269902.085144","244482.499881","291561.712392","268990.605113","245482.721657","292774.881215"
"rhCortexVol","0.8858","FALSE","FALSE","-0.031","-0.1608","0.0988","FALSE","269884.650205","245223.82074","292248.793416","268079.621397","244960.635708","294728.278571"
"CortexVol","0.9415","FALSE","FALSE","-0.0312","-0.161","0.0987","FALSE","539361.037514","489663.397425","585022.708361","536986.24655","491790.233619","585887.31103"
"lhCorticalWhiteMatterVol","0.3021","FALSE","FALSE","-0.0714","-0.2013","0.0584","FALSE","240370.015625","217714.765625","265310.265625","239265.390625","213905.953125","262192.953125"
"rhCorticalWhiteMatterVol","0.3541","FALSE","FALSE","-0.0462","-0.1761","0.0836","FALSE","241094.390625","217948.921875","265604.859375","239831.875","215215.9375","263197.421875"
"CorticalWhiteMatterVol","0.325","FALSE","FALSE","-0.0591","-0.189","0.0707","FALSE","482707.90625","436566.40625","531736.09375","478833.5625","429944.765625","525252.25"
"SubCortGrayVol","0.8395","FALSE","FALSE","0.0082","-0.1216","0.1381","FALSE","193568","180750","204420","193818","177535","207046"
"TotalGrayVol","0.9235","FALSE","FALSE","-0.0245","-0.1544","0.1053","FALSE","731480.06014","671811.665092","783683.087724","730062.486017","675014.361633","786371.171901"
"SupraTentorialVol","0.9916","FALSE","FALSE","-0.0168","-0.1466","0.113","FALSE","1136716.69016","1045425.73816","1204628.82177","1134441.14379","1037187.37139","1208281.01302"
"IntraCranialVol","0.3092","FALSE","FALSE","0.0622","-0.0676","0.1921","FALSE","1309945.60321","1165198.26972","1486474.74841","1335244.53026","1160414.87587","1521836.80731"
