"Variable","Wilcox_p.value","Wilcox_significant","Wilcox_paired","Cohens_d","Cohens_d_CI_inf","Cohens_d_CI_sup","Cohens_d_paired","control_median","control_1Q","control_3Q","case_median","case_1Q","case_3Q"
"Left-Lateral-Ventricle_Volume_mm3","1e-04","TRUE","FALSE","0.2702","0.1398","0.4006","FALSE","4503","3243","6592","5189","3624","7451"
"Left-Inf-Lat-Vent_Volume_mm3","9e-04","TRUE","FALSE","0.2651","0.1347","0.3955","FALSE","280","190","413","320","210","478"
"Left-Cerebellum-White-Matter_Volume_mm3","0.2478","FALSE","FALSE","0.1143","-0.0156","0.2442","FALSE","14484","13014","16046","14648","13106","16261"
"Left-Cerebellum-Cortex_Volume_mm3","0.3213","FALSE","FALSE","-0.0244","-0.1542","0.1055","FALSE","55449","50217","59140","54550","49603","59391"
"Left-Thalamus-Proper_Volume_mm3","0.2009","FALSE","FALSE","0.09","-0.0398","0.2199","FALSE","7183","6728","7773","7251","6755","7870"
"Left-Caudate_Volume_mm3","0.1511","FALSE","FALSE","0.0601","-0.0698","0.1899","FALSE","4001","3636","4370","4070","3703","4469"
"Left-Putamen_Volume_mm3","0.1537","FALSE","FALSE","0.0831","-0.0468","0.213","FALSE","6811","6239","7349","6867","6273","7455"
"Left-Pallidum_Volume_mm3","0.2278","FALSE","FALSE","0.0572","-0.0727","0.187","FALSE","1923","1770","2057","1943","1742","2105"
"3rd-Ventricle_Volume_mm3","2e-04","TRUE","FALSE","0.2888","0.1583","0.4193","FALSE","835","715","1001","896","742","1094"
"4th-Ventricle_Volume_mm3","0.0537","FALSE","FALSE","0.1517","0.0217","0.2817","FALSE","1829","1467","2203","1928","1518","2323"
"Brain-Stem_Volume_mm3","0.5999","FALSE","FALSE","-0.0352","-0.165","0.0947","FALSE","20442","18778","22261","20380","18591","22415"
"Left-Hippocampus_Volume_mm3","0.1227","FALSE","FALSE","0.0468","-0.083","0.1767","FALSE","4161","3867","4493","4254","3901","4563"
"Left-Amygdala_Volume_mm3","0.2134","FALSE","FALSE","0.0865","-0.0433","0.2164","FALSE","1724","1541","1919","1769","1521","1997"
"CSF_Volume_mm3","0.0108","TRUE","FALSE","0.1533","0.0232","0.2833","FALSE","942","792","1103","987","822","1187"
"Left-Accumbens-area_Volume_mm3","0.3201","FALSE","FALSE","0.0162","-0.1137","0.146","FALSE","825","720","938","846","712","963"
"Left-VentralDC_Volume_mm3","0.1241","FALSE","FALSE","0.1081","-0.0219","0.238","FALSE","4126","3822","4466","4164","3854","4508"
"Left-vessel_Volume_mm3","0.6723","FALSE","FALSE","0.0143","-0.1155","0.1442","FALSE","77","47","122","75","43","122"
"Left-choroid-plexus_Volume_mm3","0.0638","FALSE","FALSE","0.1647","0.0347","0.2948","FALSE","1438","1253","1639","1483","1281","1694"
"Right-Lateral-Ventricle_Volume_mm3","0.0033","TRUE","FALSE","0.2082","0.078","0.3384","FALSE","4299","2877","5970","4558","3194","7028"
"Right-Inf-Lat-Vent_Volume_mm3","0.043","TRUE","FALSE","0.1662","0.0361","0.2962","FALSE","258","176","379","279","180","444"
"Right-Cerebellum-White-Matter_Volume_mm3","0.2685","FALSE","FALSE","0.057","-0.0728","0.1869","FALSE","14512","13035","16142","14712","13275","16226"
"Right-Cerebellum-Cortex_Volume_mm3","0.7173","FALSE","FALSE","-0.0096","-0.1394","0.1202","FALSE","56056","51024","60067","55633","50060","60636"
"Right-Thalamus-Proper_Volume_mm3","0.2504","FALSE","FALSE","0.0681","-0.0617","0.198","FALSE","7330","6873","7895","7399","6874","8019"
"Right-Caudate_Volume_mm3","0.1808","FALSE","FALSE","0.0463","-0.0836","0.1761","FALSE","4143","3743","4501","4180","3810","4572"
"Right-Putamen_Volume_mm3","0.375","FALSE","FALSE","0.028","-0.1018","0.1579","FALSE","6527","5991","7037","6579","5962","7172"
"Right-Pallidum_Volume_mm3","0.0349","TRUE","FALSE","0.1097","-0.0202","0.2396","FALSE","1666","1529","1817","1709","1539","1863"
